name,params,final_acc,final_ortho_err,steps_per_sec,peak_mem_mb,ENC_L,ENC_R,min_principal_angle
dense,235146,0.9776,0.0,83.63906823649685,4.572416,,,
single_rank_Jr,184202,0.9397,1.7881393432617188e-06,20.928217971903297,11.51616,,,
wss,184202,0.9468,1.6689300537109375e-06,11.209800507735642,17.517824,3.527444005012512,2.96103036403656,0.8588661982759007
wss_div0,184202,0.9492,1.5497207641601562e-06,12.701190746087201,21.482752,3.527857184410095,2.9593026638031006,0.8459221831315125
wss_no_retraction,184202,0.9448,0.012977957725524902,35.689300719810255,21.654784,3.52858829498291,2.978552222251892,0.8528339624663898
