name,params,final_acc,final_ortho_err,steps_per_sec,peak_mem_mb,ENC_L,ENC_R,min_principal_angle
dense,235146,0.9599,0.0,87.97245713379517,4.572416,,,
wss,184202,0.898,3.6954879760742188e-06,13.695948429572253,8.924416,3.531713366508484,2.95097553730011,0.8521536250415438
