name,params,final_acc,final_ortho_err,steps_per_sec,peak_mem_mb,ENC_L,ENC_R,min_principal_angle
dense,235146,0.9829,0.0,89.74379004867728,4.572416,,,
single_rank_Jr,184202,0.9563,2.5033950805664062e-06,20.370816915064847,11.51616,,,
wss,184202,0.9614,5.4836273193359375e-06,11.881912697733458,17.517824,3.5283812284469604,2.963978409767151,0.8615110981577023
