name,model,dataset,params,final_acc,final_ortho_err,steps_per_sec,peak_mem_mb,mem_weight_mb,mem_activation_mb,mem_grad_mb,mem_optim_mb,ENC_L,ENC_R,min_principal_angle
dense,vit_b_16,flowers102,85877094,0.0801756383151732,0.0,1.7278696898697596,9286.783488,343.508376,7996.14464,343.508376,687.01736,,,
wss_trung,vit_b_16,flowers102,11559270,0.1865343958367214,0.0,1.2373849785367048,10224.91136,46.23708,9540.703232,46.23708,92.475248,3.896464705467224,3.8971338073412576,1.2298965057098972
wss,vit_b_16,flowers102,11563878,0.33094812164579607,4.76837158203125e-07,0.2891908784015104,10457.004544,46.255512,9690.242048,46.255512,92.511824,3.8911723461416035,3.891900612248315,1.2527104539101026
