name,model,dataset,params,final_acc,final_ortho_err,steps_per_sec,peak_mem_mb,mem_weight_mb,mem_activation_mb,mem_grad_mb,mem_optim_mb,ENC_L,ENC_R,min_principal_angle
dense,vit_b_16,flowers102,85877094,0.09773946983249308,0.0,0.3051554328077289,9267.843584,343.508376,7995.882496,343.508376,687.01736,,,
wss_trung,vit_b_16,flowers102,11559270,0.1390469995121158,0.0,0.3155740517614239,10223.721472,46.23708,9539.513344,46.23708,92.475248,3.8914255566067166,3.8896319137679205,1.1471483329926322
wss,vit_b_16,flowers102,11563878,0.3950235810700927,5.960464477539062e-07,0.11156281919886231,10456.278528,46.255512,9689.516032,46.255512,92.511824,3.891196439663569,3.891929348309835,1.2524390996383983
