name,model,dataset,params,final_acc,final_ortho_err,steps_per_sec,peak_mem_mb,ENC_L,ENC_R,min_principal_angle,mem_weight_mb,mem_activation_mb,mem_grad_mb,mem_optim_mb
wss_trung_2,vit_b_16,flowers102,11559270,0.24963408684338917,0.0,1.1544049003558383,10226.461696,3.8662320805920496,3.8760754499170513,0.7607718941782983,46.23708,9543.318528,46.23708,92.475248
wss_trung_3,vit_b_16,flowers102,11559270,0.2758172060497642,0.0,1.0656624712384863,10226.461696,3.932621313465966,3.937654905849033,0.7944306315342806,46.23708,9543.318528,46.23708,92.475248
