name,model,dataset,params,final_acc,final_ortho_err,steps_per_sec,peak_mem_mb,mem_weight_mb,mem_activation_mb,mem_grad_mb,mem_optim_mb,ENC_L,ENC_R,min_principal_angle
dense,vit_b_16,pets,85827109,0.04279095121286454,0.0,0.562593314605267,9267.02848,343.308436,7995.849728,343.308436,686.6174799999999,,,
wss_trung,vit_b_16,pets,11509285,0.052875442899972744,0.0,0.5177322888169402,10223.106048,46.03714,9539.480576,46.03714,92.075368,3.9090262287192874,3.9083090358310275,1.1376147363158269
wss,vit_b_16,pets,11513893,0.16080675933496866,4.76837158203125e-07,0.12679238391845066,10455.663104,46.055572,9689.483264,46.055572,92.111944,3.8915011949009366,3.8910043636957803,1.2545777741658075
